+----+-----------------+-----------------+--------------+
|    | Feature         |   ANOVA-F-value |      P-value |
|----+-----------------+-----------------+--------------|
|  0 | dist_ground     |      2049.27    | 0            |
|  1 | max_force_12    |      1733.01    | 0            |
|  2 | max_force_4     |      1724.02    | 0            |
|  3 | max_force       |      1666.15    | 0            |
|  4 | mean_force_12   |      1614.7     | 0            |
|  5 | mean_force_4    |      1607.14    | 0            |
|  6 | median_force_4  |      1604.04    | 0            |
|  7 | mean_force      |      1571.22    | 0            |
|  8 | median_force_12 |      1529.23    | 0            |
|  9 | pos_rel         |      1516.83    | 0            |
| 10 | min_force_12    |      1317.96    | 0            |
| 11 | min_force_4     |      1311.68    | 0            |
| 12 | min_force       |      1247.6     | 0            |
| 13 | L_4             |       966.776   | 0            |
| 14 | L_12            |       833.328   | 0            |
| 15 | var_force_12    |       734.256   | 0            |
| 16 | var_force_4     |       716.652   | 0            |
| 17 | var_force       |       454.796   | 0            |
| 18 | smp_idx         |       355.657   | 0            |
| 19 | gradient        |       258.115   | 0            |
| 20 | delta_12        |       148.927   | 0            |
| 21 | distance        |        57.1524  | 1.62485e-126 |
| 22 | lambda_12       |         7.48209 | 5.49507e-13  |
| 23 | lambda_4        |         5.98157 | 7.80955e-10  |
| 24 | delta_4         |         4.0557  | 5.72859e-06  |
+----+-----------------+-----------------+--------------+
