model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
baseline,0.000748634338379,0.001190900802612,0.142857142857143,0.142857142857143,0.339529229532206,0.339529224519139,0.115280110683466,0.115280095113587,nan,nan,nan,nan,30,both,30,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,baseline,
kmeans,71.671086025238,0.003307723999023,0.293966714294498,0.283727457887597,0.47000941943335,0.46117008975805,0.423597646400501,0.422585070258399,nan,nan,nan,nan,15,acc,30,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,kmeans,
kmeans,2.1897524356842,0.003129720687866,0.283999730768108,0.283969072826968,0.520035212802045,0.519992762171669,0.389883742323179,0.389888969324355,nan,nan,nan,nan,15,sil,30,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,kmeans,
kmeans,524.040182828903,0.00343918800354,0.371693472937109,0.366611924871148,0.569966057019412,0.572693034650993,0.552979534156505,0.558546972533643,nan,nan,nan,nan,30,acc,30,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,kmeans,
kmeans,2.20825219154358,0.003169679641724,0.283999730768108,0.283969072826968,0.520035212802045,0.519992762171669,0.389883742323179,0.389888969324355,nan,nan,nan,nan,30,sil,30,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,kmeans,
gmm,8.56440668106079,0.016779947280884,0.220065936681648,0.218279076853262,0.435646024568407,0.435991267774031,0.418868197720222,0.405441784557062,nan,nan,nan,nan,30,acc,15,tied,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,gmm,
gmm,60.4765115737915,0.00535454750061,0.318237618436684,0.31885013372683,0.572755893436909,0.573743919436333,0.567324186637681,0.568757005226421,nan,nan,nan,nan,30,acc,15,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,gmm,
gmm,8.70053033828735,0.01806845664978,0.220065936681648,0.218279076853262,0.435646024568407,0.435991267774031,0.418868197720222,0.405441784557062,nan,nan,nan,nan,30,bic,15,tied,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,gmm,
gmm,60.690118265152,0.00508828163147,0.318237618436684,0.31885013372683,0.572755893436909,0.573743919436333,0.567324186637681,0.568757005226421,nan,nan,nan,nan,30,bic,15,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,gmm,
gmm,24.314279127121,0.032840442657471,0.263944655064166,0.263092841840026,0.48533531992731,0.48592361230135,0.46435423611636,0.469447248384296,nan,nan,nan,nan,30,acc,30,tied,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,gmm,
