+----+-----------------+-----------------+--------------+
|    | Feature         |   ANOVA-F-value |      P-value |
|----+-----------------+-----------------+--------------|
| 23 | pos_rel         |      2844.35    | 0            |
| 24 | dist_ground     |      2467.77    | 0            |
|  4 | max_force       |      1455.25    | 0            |
| 16 | max_force_12    |      1395.75    | 0            |
|  8 | max_force_4     |      1392.39    | 0            |
|  1 | mean_force      |      1352.48    | 0            |
| 12 | L_4             |      1310.57    | 0            |
| 13 | mean_force_12   |      1279.81    | 0            |
|  5 | mean_force_4    |      1276.91    | 0            |
|  9 | median_force_4  |      1255.88    | 0            |
| 20 | L_12            |      1160.33    | 0            |
| 14 | var_force_12    |      1144.37    | 0            |
| 17 | median_force_12 |      1132.72    | 0            |
|  6 | var_force_4     |      1120.41    | 0            |
|  3 | min_force       |      1112.42    | 0            |
| 15 | min_force_12    |      1073.29    | 0            |
|  7 | min_force_4     |      1070.17    | 0            |
| 22 | smp_idx         |       877.07    | 0            |
|  2 | var_force       |       787.328   | 0            |
| 21 | gradient        |       379.858   | 0            |
|  0 | distance        |       212.348   | 9.41413e-267 |
| 19 | delta_12        |       196.024   | 2.46115e-246 |
| 18 | lambda_12       |        12.9199  | 1.21167e-14  |
| 10 | lambda_4        |        10.0439  | 4.07898e-11  |
| 11 | delta_4         |         3.07745 | 0.00517868   |
+----+-----------------+-----------------+--------------+
