+----+-----------------+-----------------+--------------+
|    | Feature         |   ANOVA-F-value |      P-value |
|----+-----------------+-----------------+--------------|
|  4 | max_force       |       562.919   | 0            |
| 15 | max_force_12    |       553.256   | 0            |
|  8 | max_force_4     |       552.53    | 0            |
|  1 | mean_force      |       545.716   | 0            |
| 12 | mean_force_12   |       531.499   | 0            |
|  5 | mean_force_4    |       530.898   | 0            |
|  9 | median_force_4  |       529.724   | 0            |
| 16 | median_force_12 |       498.026   | 0            |
|  3 | min_force       |       484.586   | 0            |
| 14 | min_force_12    |       477.763   | 0            |
|  7 | min_force_4     |       476.959   | 0            |
| 13 | var_force_12    |       387.721   | 0            |
|  6 | var_force_4     |       379.547   | 0            |
|  2 | var_force       |       263.904   | 0            |
| 20 | smp_idx         |        75.4865  | 3.60523e-138 |
|  0 | distance        |        60.5985  | 3.2092e-110  |
| 19 | gradient        |        55.9291  | 1.95715e-101 |
| 18 | delta_12        |        39.2235  | 5.78723e-70  |
| 17 | lambda_12       |        10.8739  | 4.68623e-17  |
| 10 | lambda_4        |         8.64926 | 4.59463e-13  |
| 11 | delta_4         |         5.38792 | 2.11004e-07  |
+----+-----------------+-----------------+--------------+
