,Type,Batch,LearningRate,DenseUnits,AccTrain,AccValid
0,dense_lstm,64,0.001,25,0.2849556373116401,0.3307883104020443
1,dense_lstm,64,0.001,50,0.302402161698787,0.34779527865633014
2,dense_lstm,64,0.001,100,0.31921110017833154,0.35122610659091347
3,dense_relu_lstm,64,0.001,25,0.2848038721859164,0.3319061943659583
4,dense_relu_lstm,64,0.001,50,0.29342525329567426,0.3487591703122819
5,dense_relu_lstm,64,0.001,100,0.31613089518120646,0.3576109577316659
6,lstm_lstm,64,0.001,0,0.2835019240158462,0.32668492640327407
7,bidirectional,64,0.001,0,0.2760086725706149,0.33322070305707646
8,lstm,32,0.001,0,0.34051336488898126,0.4146125936911449
9,dense_lstm,32,0.001,25,0.34900029692278556,0.38373155010545984
10,dense_lstm,32,0.001,50,0.33583475036149096,0.40535334931923955
11,dense_lstm,32,0.001,100,0.3593809296332656,0.4021054398213301
12,dense_relu_lstm,32,0.001,25,0.32807696003931025,0.39789975064661826
13,dense_relu_lstm,32,0.001,50,0.3189456488577519,0.3433027026474174
14,dense_relu_lstm,32,0.001,100,0.3708684162325198,0.4358499558035762
15,lstm_lstm,32,0.001,0,0.2812556427310586,0.31462864845375577
16,bidirectional,32,0.001,0,0.30531358011660775,0.3488833705437783
17,lstm,6,0.001,0,0.3731743206856204,0.44284304115529016
18,dense_lstm,6,0.001,25,0.38844747548893344,0.4498271005284192
19,dense_lstm,6,0.001,50,0.3930740564286625,0.459786567350945
20,dense_lstm,6,0.001,100,0.4262654049793139,0.4304824125449212
21,dense_relu_lstm,6,0.001,25,0.3853050685262612,0.4293634554108907
22,dense_relu_lstm,6,0.001,50,0.38759522052945466,0.46232250571470773
23,dense_relu_lstm,6,0.001,100,0.46665653185530787,0.45449272121664136
24,lstm_lstm,6,0.001,0,0.4114891994487734,0.423170405974902
25,bidirectional,6,0.001,0,0.35660409718848435,0.4237107630564297
26,lstm,1,0.001,0,0.37903876791402746,0.4418786325239668
27,dense_lstm,1,0.001,25,0.5593282578717852,0.4923732092152417
28,dense_lstm,1,0.001,50,0.5362428405294626,0.4711670785702957
29,dense_lstm,1,0.001,100,0.6116904135063171,0.4774319841812573
