model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
baseline,0.0006222248077392579,0.0010320663452148438,0.14285714285714285,0.14285714285714285,0.38820962178017393,0.3882096265191544,0.150706713534866,0.15070671431546728,nan,nan,nan,nan,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,baseline,
blstm,541.7283874511719,0.14111366271972656,0.6453434910548106,0.4656481017140339,0.8065462593528868,0.7179732313575525,0.8056097576377189,0.6890905449459548,0.9564955348589129,0.907528271815081,0.5268008146188953,0.8027218542629486,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,50,0,0.0,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,720.984387254715,0.14764299392700195,0.7127541053727607,0.45996597279629425,0.844587254692941,0.7188423431253259,0.8440427737088455,0.7123041746339959,0.9711541628081936,0.9047495245505423,0.4087901502563055,0.9381225914036325,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,50,100,0.0,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,533.8536921977997,0.14040751457214357,0.6701741293749509,0.5653527257883444,0.805673154042173,0.7350947331826873,0.8082698159106838,0.7367688946939066,0.9581846124139826,0.9221944677510464,0.5003744187077701,0.7234123171441921,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,50,0,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,723.8490951538085,0.15011396408081054,0.7695423120864923,0.47993865638256844,0.8630341424786039,0.7241439249087432,0.8629452160022008,0.7208334021429446,0.9778441446832307,0.9094977269248619,0.35589803148157123,0.8542292118185817,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,50,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,702.4480088710785,0.19720878601074218,0.5773106629867062,0.4311550411515226,0.8286886161280825,0.7036328871892925,0.8232196738614952,0.6823796517651469,0.9660750267585808,0.9026308440799744,0.47607075211429445,0.8665031927729995,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,100,0,0.0,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,980.426261806488,0.21100096702575682,0.6078081949947279,0.3833872833172885,0.755104112732109,0.6343646792977576,0.7994073138673811,0.6481203236767092,0.942760978760788,0.848479840593726,0.6472126429880791,1.1599949963885539,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,100,100,0.0,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,703.7700345039368,0.19922184944152832,0.7460347593643062,0.49974350542579016,0.8428105869095117,0.7178863201807753,0.8439232067310036,0.7148601736026877,0.9694354503066,0.8940440431657694,0.4172010646122553,0.9152026650530359,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,100,0,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,981.0369999408722,0.21081485748291015,0.7353179291777755,0.48488261714979053,0.8444755784322684,0.6885972536068138,0.845205069879512,0.6902843079526919,0.9716002461810066,0.9002611582698551,0.4073099849925265,0.8456007531937367,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,1165.9509221553803,0.3128164291381836,0.49735734229765927,0.41286538901237446,0.7531142448146682,0.6861637406570485,0.7511647057710136,0.6666358063929423,0.9239607438467025,0.8582819649523716,0.7747229085817171,1.0854895745618185,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,150,0,0.0,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,1592.1556334018708,0.3326110363006592,0.8681911276797355,0.49530573743693773,0.9014913856993472,0.7052841995480619,0.904220241075583,0.705549665504043,0.9867160692476304,0.8958318063473044,0.26695922487231205,1.0439471916130516,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,150,100,0.0,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,1169.987355518341,0.3139542579650879,0.7195265487925235,0.5160791762608711,0.8260896049706088,0.7285763949243873,0.8245500210419753,0.7291359712828197,0.9631658280604722,0.9172375929343205,0.4656555057928999,0.7621282169996187,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,150,0,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
blstm,1613.6236391067505,0.33382697105407716,0.7997603232421099,0.49134008187081957,0.8860597569518472,0.7238831913784113,0.885436758866098,0.7163597106226837,0.9824874507923128,0.9090283603032312,0.31020235822278525,0.8926256625898132,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,8,100,0.01,150,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run03.csv,preprocessed_data_k5.txt,blstm,
