model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
baseline,0.000652170181274,0.001016664505005,0.14285714285714302,0.14285714285714302,0.388209621780174,0.388209626519154,0.150706713534866,0.15070671431546698,,,,,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,baseline,
kmeans,25.286058044433602,0.003286266326904,0.209361515935047,0.220840955410444,0.494102548408923,0.494795841854124,0.43350443625566704,0.438931264839636,,,,,15,acc,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,kmeans,
kmeans,1.64298586845398,0.003441429138184,0.225447623774883,0.22544779758533606,0.51170403670246,0.511704375038731,0.334160186811498,0.334182716868407,,,,,15,sil,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,kmeans,
kmeans,322.184065818787,0.003447246551514,0.31649204857189,0.31699236690573,0.587416376781278,0.588883146392349,0.549536823994208,0.556367204597869,,,,,30,acc,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,kmeans,
kmeans,1.6525438785553,0.0033531188964840003,0.225447623774883,0.22544779758533606,0.51170403670246,0.511704375038731,0.334160186811498,0.334182716868407,,,,,30,sil,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,kmeans,
gmm,5.849018096923831,0.011109685897827,0.184461866204534,0.185309684710268,0.446627289384384,0.448752669847762,0.306477803893165,0.308255012648269,,,,,15,acc,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,gmm,
gmm,104.385905456543,0.006440305709839,0.263520935632167,0.262150665239544,0.5854846360743969,0.58288307409473,0.52697775523241,0.527535975932392,,,,,15,acc,15,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,gmm,
gmm,5.84400181770325,0.010924196243286,0.184461866204534,0.185309684710268,0.446627289384384,0.448752669847762,0.306477803893165,0.308255012648269,,,,,15,bic,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,gmm,
gmm,104.67734298706101,0.006246662139893001,0.263520935632167,0.262150665239544,0.5854846360743969,0.58288307409473,0.52697775523241,0.527535975932392,,,,,15,bic,15,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,gmm,
gmm,23.786477947235106,0.033269023895264,0.249614345979688,0.250694022593444,0.546918185175429,0.5477939931007421,0.514983543145854,0.514346518481492,,,,,15,acc,30,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run02.csv,preprocessed_data_k5.txt,gmm,
