model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
baseline,0.0006218910217285156,0.0010290145874023438,0.14285714285714285,0.14285714285714285,0.38820962178017393,0.3882096265191544,0.150706713534866,0.15070671431546728,nan,nan,nan,nan,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,baseline,
rf,1.2718183517456054,0.022387266159057617,0.8992077735445012,0.6831299395612991,0.9518089952275439,0.8253259693044969,0.9522998235972964,0.8243706163247225,0.9972060396968716,0.9646919358654754,0.23672893819453517,0.5687745405714061,15,both,15,tied,rbf,0.2,entropy,25,sqrt,0.4,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,0.22113757133483886,0.01733856201171875,0.8136055073718301,0.7604712163431935,0.700229543388547,0.6889235194480594,0.7771004867252055,0.7664109770415088,0.9242227548659848,0.9155062307332159,1.0183446251571842,1.2138553636350635,15,both,15,tied,rbf,0.2,entropy,25,sqrt,0.4,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,1.7788187503814696,0.02367377281188965,0.9725030532954942,0.6971831437324842,0.9851597636497926,0.833007456982917,0.9852286000770547,0.8319897616272313,0.9996273816111225,0.9679028414810824,0.17616753019092424,0.5343642487883647,15,both,15,tied,rbf,0.2,entropy,25,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,0.21931533813476561,0.01733870506286621,0.8136055073718301,0.7604712163431935,0.700229543388547,0.6889235194480594,0.7771004867252055,0.7664109770415088,0.9242227548659848,0.9155062307332159,1.0183446251571842,1.2138553636350635,15,both,15,tied,rbf,0.2,entropy,25,sqrt,0.6,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,2.213336944580078,0.024522829055786132,0.9927024315783255,0.705821863309481,0.9963069892723038,0.8386892235235793,0.9963126238386157,0.8376894489243876,0.999966902014896,0.9702400666904764,0.13428273769257476,0.5392255898471929,15,both,15,tied,rbf,0.2,entropy,25,sqrt,0.8,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,0.2198326587677002,0.017389345169067382,0.8136055073718301,0.7604712163431935,0.700229543388547,0.6889235194480594,0.7771004867252055,0.7664109770415088,0.9242227548659848,0.9155062307332159,1.0183446251571842,1.2138553636350635,15,both,15,tied,rbf,0.2,entropy,25,sqrt,0.8,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,1.274099588394165,0.022304010391235352,0.8992077735445012,0.6831299395612991,0.9518089952275439,0.8253259693044969,0.9522998235972964,0.8243706163247225,0.9972060396968716,0.9646919358654754,0.23672893819453517,0.5687745405714061,15,both,15,tied,rbf,0.2,entropy,25,log2,0.4,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,0.22089829444885253,0.017302179336547853,0.8136055073718301,0.7604712163431935,0.700229543388547,0.6889235194480594,0.7771004867252055,0.7664109770415088,0.9242227548659848,0.9155062307332159,1.0183446251571842,1.2138553636350635,15,both,15,tied,rbf,0.2,entropy,25,log2,0.4,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
rf,1.7741816520690918,0.023801183700561522,0.9725030532954942,0.6971831437324842,0.9851597636497926,0.833007456982917,0.9852286000770547,0.8319897616272313,0.9996273816111225,0.9679028414810824,0.17616753019092424,0.5343642487883647,15,both,15,tied,rbf,0.2,entropy,25,log2,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run09.csv,preprocessed_data_k5.txt,rf,
